,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Expected,Expected,Expected,Expected,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,,-additional
Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,xG,npxG,xAG,npxG+xAG,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches,-9999
356,Awer Mabil,MF,au Australia,27-090,1.es Cádiz,1995,2,0,24,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,922da988
357,Alexis Mac Allister,MF,ar Argentina,23-355,1.eng Brighton,1998,5,5,435,4.8,1,0,1,0,0,0,0,0.21,0,0.21,0.21,0.21,0.6,0.6,0.5,1.1,0.14,0.11,0.25,0.14,0.25,Matches,83d074ff
358,Jamie Maclaren,FW,au Australia,29-138,1.au Melb City,1993,3,0,55,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08,0.08,0,0.08,Matches,2a8ba67e
359,Assim Madibo,MF,qa Qatar,26-053,1.qa Al Duhail SC,1996,2,2,153,1.7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.02,0.02,0,0.02,Matches,2b1d2ada
360,Abdullah Madu,DFMF,sa Saudi Arabia,29-152,1.sa Al-Nassr,1993,1,0,45,0.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9c3523a4
361,Daizen Maeda,FW,jp Japan,25-055,1.sct Celtic,1997,3,3,180,2,1,0,1,0,0,0,0,0.5,0,0.5,0.5,0.5,0.5,0.5,0,0.5,0.24,0,0.24,0.24,0.24,Matches,395451fc
362,Harry Maguire,DF,eng England,29-284,1.eng Manchester Utd,1993,5,5,429,4.8,0,1,0,0,0,1,0,0,0.21,0.21,0,0.21,0.4,0.4,0,0.4,0.08,0.01,0.09,0.08,0.09,Matches,d8931174
363,Lovro Majer,MF,hr Croatia,24-331,1.fr Rennes,1998,6,0,65,0.7,1,0,1,0,0,0,0,1.38,0,1.38,1.38,1.38,0.7,0.7,0,0.7,2.27,0,2.27,2.27,2.27,Matches,fc46aab1
364,Nemanja Maksimović,MF,rs Serbia,27-322,1.es Getafe,1995,3,1,122,1.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches,00b28772
365,Abdulellah Al-Malki,MF,sa Saudi Arabia,28-064,1.sa Al-Hilal,1994,2,2,174,1.9,0,0,0,0,0,2,0,0,0,0,0,0,0.1,0.1,0,0.1,0.06,0,0.06,0.06,0.06,Matches,3bcd2730
366,Steve Mandanda,GK,fr France,37-261,1.fr Rennes,1985,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1d2d5cc8
367,José María Giménez,DF,uy Uruguay,27-328,1.es Atlético Madrid,1995,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,f0da930c
368,João Mário,FWMF,pt Portugal,29-329,1.pt Benfica,1993,2,1,84,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f0021247
369,Marquinhos,DF,br Brazil,28-214,1.fr Paris S-G,1994,5,4,426,4.7,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.8,0.9,0.04,0.17,0.21,0.04,0.21,Matches,d5f2f82b
370,Henry Martín,FW,mx Mexico,30-026,1.mx América,1992,2,2,146,1.6,1,0,1,0,0,0,0,0.62,0,0.62,0.62,0.62,0.9,0.9,0.2,1.1,0.57,0.13,0.7,0.57,0.7,Matches,b585c991
371,Martinelli,FW,br Brazil,21-179,1.eng Arsenal,2001,3,1,113,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.2,0.7,0.42,0.14,0.56,0.42,0.56,Matches,48a5a5d6
372,Carlos Martínez,DF,cr Costa Rica,23-259,1.cr AD San Carlos,1999,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9acb9d76
373,Emiliano Martínez,GK,ar Argentina,30-103,1.eng Aston Villa,1992,6,6,570,6.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7956236f
374,Lautaro Martínez,FW,ar Argentina,25-114,1.it Inter,1997,5,2,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1.3,1.3,0,1.3,0.59,0.02,0.61,0.59,0.61,Matches,f7036e1c
375,Lisandro Martínez,DF,ar Argentina,24-330,1.eng Manchester Utd,1998,5,2,303,3.4,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.7,0.8,0.04,0.21,0.25,0.04,0.25,Matches,bac46a10
376,Pape Matar Sarr,MF,sn Senegal,20-091,1.eng Tottenham,2002,2,0,59,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.2,0.18,0.05,0.23,0.18,0.23,Matches,feb5d972
377,Rónald Matarrita,DFMF,cr Costa Rica,28-158,1.us FC Cincinnati,1994,2,0,26,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,491862dd
378,Eric Maxim Choupo-Moting,FWMF,cm Cameroon,33-266,1.de Bayern Munich,1989,3,3,253,2.8,1,0,1,0,0,0,0,0.36,0,0.36,0.36,0.36,0.8,0.8,0,0.9,0.29,0.02,0.31,0.29,0.31,Matches,0e6bc38c
379,Noussair Mazraoui,DF,ma Morocco,25-030,1.de Bayern Munich,1997,4,4,320,3.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.04,0,0.04,0.04,0.04,Matches,b74277a0
380,Kylian Mbappé,FW,fr France,23-359,1.fr Paris S-G,1998,5,4,388,4.3,5,2,5,0,0,0,0,1.16,0.46,1.62,1.16,1.62,2.8,2.8,1.3,4.1,0.65,0.3,0.94,0.65,0.94,Matches,42fd9c7f
381,Bryan Mbeumo,FWMF,cm Cameroon,23-129,1.eng Brentford,1999,3,3,233,2.6,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.3,0.5,0.08,0.11,0.19,0.08,0.19,Matches,6afaebf2
382,Riley McGree,FWMF,au Australia,24-042,2.eng Middlesbrough,1998,4,4,265,2.9,0,1,0,0,0,0,0,0,0.34,0.34,0,0.34,0.1,0.1,0.6,0.8,0.05,0.22,0.27,0.05,0.27,Matches,59d61727
383,Weston McKennie,MF,us United States,24-108,1.it Juventus,1998,4,4,271,3,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.4,0.8,0.13,0.13,0.27,0.13,0.27,Matches,01c3aff5
384,Hannibal Mejbri,MF,tn Tunisia,19-327,2.eng Birmingham City,2003,1,0,11,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ca22ccb0
385,Memphis,FW,nl Netherlands,28-304,1.es Barcelona,1994,5,3,297,3.3,1,0,1,0,0,1,0,0.3,0,0.3,0.3,0.3,1.5,1.5,0.5,2,0.44,0.16,0.61,0.44,0.61,Matches,8f696594
386,Nuno Mendes,DF,pt Portugal,20-178,1.fr Paris S-G,2002,1,1,41,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04,0.04,0,0.04,Matches,f20e4cc9
387,Jhegson Méndez,MF,ec Ecuador,25-232,1.us Los Angeles FC,1997,2,2,180,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.1,0.1,0,0.07,0.07,0,0.07,Matches,db0c5324
388,Edouard Mendy,GK,sn Senegal,30-288,1.eng Chelsea,1992,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,33887998
389,Nampalys Mendy,MF,sn Senegal,30-174,1.eng Leicester City,1992,4,3,272,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.03,0.02,0.03,Matches,1598599e
390,Gideon Mensah,DF,gh Ghana,24-149,1.fr Auxerre,1998,1,1,87,1,0,1,0,0,0,0,0,0,1.03,1.03,0,1.03,0,0,0.3,0.3,0,0.28,0.28,0,0.28,Matches,9bdd8118
391,Chris Mepham,DF,wls Wales,25-039,1.eng Bournemouth,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.2,0.2,0,0.07,0.07,0,0.07,Matches,fed96827
392,Yassine Meriah,DF,tn Tunisia,29-165,1.tn Espérance de Tunis,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.02,0.01,0.04,0.02,0.04,Matches,3640af28
393,Dries Mertens,MFFW,be Belgium,35-222,1.tr Galatasaray,1987,2,1,76,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0.8,0.8,0.1,0.9,0.94,0.17,1.11,0.94,1.11,Matches,89b2c8a9
394,Lionel Messi,FW,ar Argentina,35-173,1.fr Paris S-G,1987,6,6,570,6.3,5,3,2,3,4,1,0,0.79,0.47,1.26,0.32,0.79,4.7,1.6,2.2,3.8,0.79,0.37,1.16,0.26,0.63,Matches,d70ce98e
395,Thomas Meunier,DF,be Belgium,31-093,1.de Dortmund,1991,3,2,211,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.5,0.7,0.09,0.21,0.3,0.09,0.3,Matches,e162b013
396,Nikola Milenković,DF,rs Serbia,25-063,1.it Fiorentina,1997,3,3,270,3,0,0,0,0,0,2,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0,0.06,0.06,0.06,Matches,bee704fc
397,Arkadiusz Milik,FWMF,pl Poland,28-289,1.it Juventus,1994,3,1,101,1.1,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.22,0.09,0.31,0.22,0.31,Matches,85613cf0
398,Sergej Milinković-Savić,MF,rs Serbia,27-290,1.it Lazio,1995,3,3,233,2.6,1,0,1,0,0,1,0,0.39,0,0.39,0.39,0.39,0.2,0.2,0,0.2,0.07,0,0.07,0.07,0.07,Matches,4e6dbac4
399,Vanja Milinković-Savić,GK,rs Serbia,25-297,1.it Torino,1997,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,9fa26bc2
400,Éder Militão,DF,br Brazil,24-330,1.es Real Madrid,1998,4,4,347,3.9,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.05,0.01,0.05,0.05,0.05,Matches,2784f898
401,Liam Millar,DF,ca Canada,23-078,1.ch Basel,1999,1,0,10,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,983515f8
402,Kamal Miller,DF,ca Canada,25-212,1.us CF Montréal,1997,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,0646bd8a
403,Kim Min-jae,DF,kr Korea Republic,26-029,1.it Napoli,1996,3,3,269,3,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0,0.03,0.03,0.03,Matches,e0f8151c
404,Takumi Minamino,FW,jp Japan,27-332,1.fr Monaco,1995,3,0,60,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.36,0,0.36,0.36,0.36,Matches,f833a830
405,Kaoru Mitoma,MF,jp Japan,25-208,1.eng Brighton,1997,4,0,165,1.8,0,1,0,0,0,0,0,0,0.55,0.55,0,0.55,0.1,0.1,1.2,1.3,0.05,0.83,0.88,0.05,0.88,Matches,74618572
406,Aleksandar Mitrović,FW,rs Serbia,28-089,1.eng Fulham,1994,3,3,262,2.9,2,0,2,0,0,1,0,0.69,0,0.69,0.69,0.69,1.6,1.6,0.7,2.4,0.57,0.24,0.81,0.57,0.81,Matches,3925dbd6
407,Stefan Mitrović,DF,rs Serbia,32-206,1.es Getafe,1990,1,0,35,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e6777e6b
408,Filip Mladenović,DF,rs Serbia,31-121,1.pl Legia Warsaw,1991,1,1,65,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0,0.03,0.03,0.03,Matches,a3eabee0
409,Luka Modrić,MF,hr Croatia,37-096,1.es Real Madrid,1985,6,6,563,6.3,0,0,0,0,0,1,0,0,0,0,0,0,0.3,0.3,0.7,1.1,0.06,0.13,0.18,0.06,0.18,Matches,6025fab1
410,Ismail Mohamad,FW,qa Qatar,32-253,1.qa Al Duhail SC,1990,2,2,174,1.9,0,1,0,0,0,1,0,0,0.52,0.52,0,0.52,,,,,,,,,,Matches,b554011a
411,Milad Mohammadi,DF,ir IR Iran,29-076,1.gr AEK Athens,1993,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,740a0e28
412,Kudus Mohammed,FWMF,gh Ghana,22-134,1.nl Ajax,2000,3,3,247,2.7,2,0,2,0,0,1,0,0.73,0,0.73,0.73,0.73,0.8,0.8,0,0.8,0.3,0,0.3,0.3,0.3,Matches,b62878a5
413,Sadegh Moharrami,DF,ir IR Iran,26-288,1.hr Dinamo Zagreb,1996,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,25b74470
414,Nahuel Molina,DF,ar Argentina,24-252,1.es Atlético Madrid,1998,6,5,477,5.3,1,1,1,0,0,0,0,0.19,0.19,0.38,0.19,0.38,0.5,0.5,0.3,0.8,0.09,0.06,0.15,0.09,0.15,Matches,23610943
415,César Montes,DF,mx Mexico,25-293,1.mx Monterrey,1997,3,3,270,3,0,1,0,0,0,0,0,0,0.33,0.33,0,0.33,0.2,0.2,0.5,0.7,0.06,0.17,0.23,0.06,0.23,Matches,28e957d7
416,Gonzalo Montiel,DFMF,ar Argentina,25-347,1.es Sevilla,1997,3,1,88,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,0,0.05,Matches,374d5158
417,Kim Moonhwan,DF,kr Korea Republic,27-135,1.kr Jeonbuk,1995,4,4,360,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6,0.6,0,0.15,0.15,0,0.15,Matches,6bce7dd8
418,Kieffer Moore,FW,wls Wales,30-128,1.eng Bournemouth,1992,3,2,225,2.5,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.2,1.3,0.41,0.1,0.51,0.41,0.51,Matches,01ce9e70
419,Shaquell Moore,DF,us United States,26-042,1.us Nashville,1996,2,0,22,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3b9f859b
420,Aaron Mooy,MF,au Australia,32-090,1.sct Celtic,1990,4,4,360,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1,0.1,0.01,0.02,0.03,0.01,0.03,Matches,47b7e3af
421,Álvaro Morata,FW,es Spain,30-052,1.es Atlético Madrid,1992,4,1,185,2.1,3,1,3,0,0,0,0,1.46,0.49,1.95,1.46,1.95,1.4,1.4,0.2,1.6,0.79,0.14,0.93,0.79,0.93,Matches,129af0db
422,Héctor Moreno,DF,mx Mexico,34-331,1.mx Monterrey,1988,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0.2,0.2,0,0.2,0.06,0.01,0.07,0.06,0.07,Matches,5d311e8d
423,Hidemasa Morita,MF,jp Japan,27-218,1.pt Sporting CP,1995,3,3,285,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.2,0.05,0.03,0.08,0.05,0.08,Matches,a650c75b
424,Joe Morrell,MF,wls Wales,25-345,3.eng Portsmouth,1997,2,0,33,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,3b935a91
425,Jordan Morris,FWDF,us United States,28-049,1.us Seattle,1994,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,bd298d0d
426,Youssoufa Moukoko,FW,de Germany,18-024,1.de Dortmund,2004,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,6ce43701
427,Mason Mount,MF,eng England,23-338,1.eng Chelsea,1999,4,2,186,2.1,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.2,0.1,0.02,0.12,0.1,0.12,Matches,9674002f
428,Youssef Msakni,MFFW,tn Tunisia,32-047,1.qa Al-Arabi SC,1990,2,2,169,1.9,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0.6,1.2,0.29,0.34,0.62,0.29,0.62,Matches,0083e371
429,Thomas Müller,FWMF,de Germany,33-092,1.de Bayern Munich,1989,3,3,201,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.6,0.9,0.14,0.28,0.42,0.14,0.42,Matches,3c6089ab
430,Munir,GK,ma Morocco,33-218,1.sa Al-Wehda,1989,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,fc8287db
431,Mohammed Muntari,FWMF,qa Qatar,28-359,1.qa Al Duhail SC,1993,3,0,63,0.7,1,0,1,0,0,0,0,1.43,0,1.43,1.43,1.43,0.2,0.2,0,0.2,0.3,0.03,0.33,0.3,0.33,Matches,da38f46e
432,Yunus Musah,MF,us United States,20-015,1.es Valencia,2002,4,4,343,3.8,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.3,0.1,0.4,0.08,0.02,0.11,0.08,0.11,Matches,b51b1b9c
433,Jamal Musiala,MFFW,de Germany,19-291,1.de Bayern Munich,2003,3,3,258,2.9,0,1,0,0,0,0,0,0,0.35,0.35,0,0.35,1.9,1.9,0.9,2.8,0.67,0.3,0.97,0.67,0.97,Matches,2c0558b8
434,Joakim Mæhle,DF,dk Denmark,25-208,1.it Atalanta,1997,3,3,249,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.01,0.01,0.03,0.01,0.03,Matches,c459a650
435,Georges-Kévin N'Koudou,FWMF,cm Cameroon,27-304,1.tr Beşiktaş,1995,2,0,27,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13,0,0.13,0.13,0.13,Matches,76c131da
436,Yuto Nagatomo,MFDF,jp Japan,36-093,1.jp FC Tokyo,1986,4,4,209,2.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.05,0.05,0,0.05,Matches,4b6960d2
437,Sami Al-Najei,MF,sa Saudi Arabia,25-310,1.sa Al-Nassr,1997,1,1,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,978e29d3
438,Keylor Navas,GK,cr Costa Rica,35-364,1.fr Paris S-G,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,ecada4fc
439,Iliman Ndiaye,FWMF,sn Senegal,22-283,2.eng Sheffield Utd,2000,3,2,135,1.5,0,1,0,0,0,0,0,0,0.67,0.67,0,0.67,0.1,0.1,0.2,0.3,0.09,0.14,0.22,0.09,0.22,Matches,5ed97752
440,Victor Nelsson,DF,dk Denmark,24-061,1.tr Galatasaray,1998,1,1,90,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e53b5534
441,Manuel Neuer,GK,de Germany,36-262,1.de Bayern Munich,1986,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8778c910
442,Rúben Neves,MF,pt Portugal,25-276,1.eng Wolves,1997,5,4,268,3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.03,0.01,0.04,0.03,0.04,Matches,44bfb6c5
443,Neymar,MF,br Brazil,30-312,1.fr Paris S-G,1992,3,3,279,3.1,2,0,1,1,1,0,0,0.65,0,0.65,0.32,0.32,2.7,1.9,0.8,2.7,0.98,0.29,1.27,0.7,0.98,Matches,69384e5d
444,Moumi Ngamaleu,FWMF,cm Cameroon,28-158,1.ru Dynamo Mosc,1994,2,1,95,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0.15,0.15,0,0.15,Matches,0193a8bf
445,Jerome Ngom Mbekeli,MF,cm Cameroon,24-075,1.cm Colombe Sportive du Dja et Lobo,1998,1,0,5,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2.23,2.23,0,2.23,Matches,32bb1138
446,Rasmus Nissen,DF,dk Denmark,25-156,1.eng Leeds United,1997,3,3,224,2.5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0,0.01,Matches,39769cff
447,Nicolas Nkoulou,DF,cm Cameroon,32-262,1.gr Aris,1990,2,2,180,2,0,1,0,0,0,1,0,0,0.5,0.5,0,0.5,0.3,0.3,0,0.3,0.14,0,0.14,0.14,0.14,Matches,93cf32a8
448,Andries Noppert,GK,nl Netherlands,28-251,1.nl Heerenveen,1994,5,5,480,5.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,2dc9d6fb
449,Ahmad Nourollahi,MF,ir IR Iran,29-315,1.ae Al-Ahli Dubai FC,1993,3,3,223,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,0.1,0.04,0,0.04,0.04,0.04,Matches,2c5273b8
450,Olivier Ntcham,MF,cm Cameroon,26-308,2.eng Swansea City,1996,1,0,25,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.16,0.09,0.25,0.16,0.25,Matches,6554bb97
451,Matheus Nunes,MF,pt Portugal,24-109,1.eng Wolves,1998,2,1,73,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.03,0.12,0.14,0.03,0.14,Matches,e6af02e0
452,Darwin Núñez,FW,uy Uruguay,23-173,1.eng Liverpool,1999,3,3,240,2.7,0,0,0,0,0,1,0,0,0,0,0,0,0.4,0.4,0.2,0.6,0.14,0.09,0.23,0.14,0.23,Matches,4d77b365
453,Christian Nørgaard,MF,dk Denmark,28-279,1.eng Brentford,1994,1,0,6,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,df0a4c90
454,Guillermo Ochoa,GK,mx Mexico,37-154,1.mx América,1985,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,1e9bde92
455,Denis Odoi,DF,gh Ghana,34-201,1.be Club Brugge,1988,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f7750aa0
456,Noah Okafor,FWMF,ch Switzerland,22-204,1.at RB Salzburg,2000,3,0,45,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.05,0.09,0.14,0.05,0.14,Matches,ca607d59
457,Mathías Olivera,DF,uy Uruguay,25-044,1.it Napoli,1997,3,3,253,2.8,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.03,0.15,0.18,0.03,0.18,Matches,41c12f75
458,Dani Olmo,FW,es Spain,24-221,1.de RB Leipzig,1998,4,4,367,4.1,1,1,1,0,0,0,0,0.25,0.25,0.49,0.25,0.49,1.4,1.4,0.5,1.9,0.34,0.11,0.46,0.34,0.46,Matches,ae44e8e2
459,Amadou Onana,MF,be Belgium,21-120,1.eng Everton,2001,2,1,104,1.2,0,0,0,0,0,2,0,0,0,0,0,0,0.5,0.5,0,0.5,0.4,0,0.4,0.4,0.4,Matches,828657ff
460,André Onana,GK,cm Cameroon,26-256,1.it Inter,1996,1,1,80,0.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,e9c0c1b2
461,Gaël Ondoua,MF,cm Cameroon,27-040,2.de Hannover 96,1995,2,0,47,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,7c41b738
462,Loïs Openda,FW,be Belgium,22-301,1.fr Lens,2000,1,0,13,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,8652a85c
463,Mislav Oršić,FW,hr Croatia,29-350,1.hr Dinamo Zagreb,1992,5,0,73,0.8,0,2,0,0,0,0,0,0,2.47,2.47,0,2.47,0.2,0.2,0.8,1,0.32,1.42,1.74,0.32,1.74,Matches,ee950928
464,Jonathan Osorio,MFFW,ca Canada,30-185,1.us Toronto FC,1992,3,1,119,1.3,0,0,0,0,0,1,0,0,0,0,0,0,0.1,0.1,0,0.1,0.05,0,0.05,0.05,0.05,Matches,70106ff6
465,Nicolás Otamendi,DF,ar Argentina,34-305,1.pt Benfica,1988,6,6,570,6.3,0,1,0,0,0,2,0,0,0.16,0.16,0,0.16,0,0,0.2,0.2,0.01,0.03,0.03,0.01,0.03,Matches,0d267745
466,Otávio,MF,pt Portugal,27-308,1.pt Porto,1995,3,3,196,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.4,0.5,0.05,0.17,0.23,0.05,0.23,Matches,28b1f3ce
467,Samuel Oum Gouet,MF,cm Cameroon,25-001,1.be Mechelen,1997,2,1,100,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,b82359be
468,Azzedine Ounahi,MF,ma Morocco,22-239,1.fr Angers,2000,5,5,443,4.9,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.5,0.6,0.01,0.1,0.11,0.01,0.11,Matches,83299cc0
469,Bryan Oviedo,DF,cr Costa Rica,32-299,1.us Real Salt Lake,1990,3,3,260,2.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,31faf295
470,Mohammed Al-Owais,GK,sa Saudi Arabia,31-065,1.sa Al-Hilal,1991,3,3,270,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,f2c060c6
471,Juan Pablo Vargas,DF,cr Costa Rica,27-191,1.co Millonarios,1995,1,1,90,1,1,0,1,0,0,0,0,1,0,1,1,1,0.5,0.5,0,0.5,0.46,0,0.46,0.46,0.46,Matches,e22564a0
472,Exequiel Palacios,MFDF,ar Argentina,24-070,1.de Leverkusen,1998,3,0,50,0.6,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.12,0.12,0.24,0.12,0.24,Matches,e82adcab
473,João Palhinha,MF,pt Portugal,27-158,1.eng Fulham,1995,3,0,38,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0.06,0.3,0.36,0.06,0.36,Matches,a78ff07f
474,Lucas Paquetá,MF,br Brazil,25-109,1.eng West Ham,1997,4,4,314,3.5,1,1,1,0,0,0,0,0.29,0.29,0.57,0.29,0.57,0.8,0.8,1.5,2.3,0.24,0.43,0.67,0.24,0.67,Matches,9b6f7fd5
475,Leandro Paredes,MF,ar Argentina,28-168,1.it Juventus,1994,4,2,206,2.3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.1,0.01,0.02,0.03,0.01,0.03,Matches,dff153a4
476,Thomas Partey,MF,gh Ghana,29-184,1.eng Arsenal,1993,3,3,270,3,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.3,0.07,0.02,0.09,0.07,0.09,Matches,529f49ab
